"處理時間","報表類型","動作","原始路徑","目標路徑","統計開始日","統計結束日","產出時間","檔案大小","結果","備註"
"2026-09-04 11:03:23","跨平台關注群組數量報表","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\跨平台關注群組數量報表_20260801-20260802.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年08月\跨平台關注群組數量報表_20260801-20260802.png","20260801","20260802","","275193","成功",""
"2026-09-04 11:03:23","跨平台關注群組數量報表","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\跨平台關注群組數量報表_20260801-20260803.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年08月\跨平台關注群組數量報表_20260801-20260803.png","20260801","20260803","","297965","成功",""
"2026-09-04 11:03:23","跨平台關注群組數量報表","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\跨平台關注群組數量報表_20260801-20260804.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年08月\跨平台關注群組數量報表_20260801-20260804.png","20260801","20260804","","298367","成功",""
"2026-09-04 11:03:23","跨平台關注群組數量報表","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\跨平台關注群組數量報表_20260801-20260805.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年08月\跨平台關注群組數量報表_20260801-20260805.png","20260801","20260805","","299190","成功",""
"2026-09-04 11:03:23","跨平台關注群組數量報表","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\跨平台關注群組數量報表_20260801-20260806.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年08月\跨平台關注群組數量報表_20260801-20260806.png","20260801","20260806","","314172","成功",""
"2026-09-04 11:03:23","跨平台關注群組數量報表","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\跨平台關注群組數量報表_20260801-20260809.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年08月\跨平台關注群組數量報表_20260801-20260809.png","20260801","20260809","","371443","成功",""
"2026-09-04 11:03:23","跨平台關注群組數量報表","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\跨平台關注群組數量報表_20260801-20260810.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年08月\跨平台關注群組數量報表_20260801-20260810.png","20260801","20260810","","373264","成功",""
"2026-09-04 11:03:23","跨平台關注群組數量報表","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\跨平台關注群組數量報表_20260801-20260811.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年08月\跨平台關注群組數量報表_20260801-20260811.png","20260801","20260811","","374760","成功",""
"2026-09-04 11:03:23","跨平台關注群組數量報表","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\跨平台關注群組數量報表_20260801-20260812.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年08月\跨平台關注群組數量報表_20260801-20260812.png","20260801","20260812","","380050","成功",""
"2026-09-04 11:03:23","跨平台關注群組數量報表","歸檔","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\跨平台關注群組數量報表_20260801-20260813.png","\\ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年08月\跨平台關注群組數量報表_20260801-20260813.png","20260801","20260813","","377517","成功",""
